Date,Open,High,Low,Close,Adj Close,Volume,Direction,Day,Month,Year
04/02/2019,7266.279785,7348.22998,7261.069824,7347.540039,7347.540039,2099470000,1,4,2,2019
05/02/2019,7356.339844,7408.680176,7355.359863,7402.080078,7402.080078,2265520000,1,5,2,2019
06/02/2019,7400.439941,7410.77002,7346.720215,7375.279785,7375.279785,2167130000,-1,6,2,2019
07/02/2019,7316.5,7336.740234,7235.049805,7288.350098,7288.350098,2295080000,-1,7,2,2019
08/02/2019,7232.299805,7299.439941,7225.140137,7298.200195,7298.200195,2086260000,1,8,2,2019
11/02/2019,7327.370117,7343.560059,7290.029785,7307.899902,7307.899902,1897800000,1,11,2,2019
12/02/2019,7358.850098,7419.430176,7349.799805,7414.620117,7414.620117,2124330000,1,12,2,2019
13/02/2019,7437.459961,7461.660156,7413.839844,7420.379883,7420.379883,2093800000,1,13,2,2019
14/02/2019,7390.25,7454.419922,7375.709961,7426.950195,7426.950195,2103370000,1,14,2,2019
15/02/2019,7468.569824,7477.279785,7440.259766,7472.410156,7472.410156,2257750000,1,15,2,2019
19/02/2019,7450.75,7507.790039,7450.27002,7486.77002,7486.77002,2120790000,1,19,2,2019
20/02/2019,7490.310059,7513.700195,7455.25,7489.069824,7489.069824,2181760000,1,20,2,2019
21/02/2019,7475.410156,7485.75,7430.890137,7459.709961,7459.709961,2119080000,-1,21,2,2019
22/02/2019,7481.629883,7527.540039,7479.009766,7527.540039,7527.540039,2417680000,1,22,2,2019
25/02/2019,7585.299805,7602.689941,7551.609863,7554.459961,7554.459961,2363140000,1,25,2,2019
26/02/2019,7535.290039,7573.220215,7524.310059,7549.299805,7549.299805,2257710000,-1,26,2,2019
27/02/2019,7526.419922,7562.290039,7485.390137,7554.509766,7554.509766,2423360000,1,27,2,2019
28/02/2019,7533.310059,7561.899902,7516.47998,7532.529785,7532.529785,2647080000,-1,28,2,2019
01/03/2019,7587.450195,7603.040039,7540.75,7595.350098,7595.350098,2463190000,1,1,3,2019
04/03/2019,7636.620117,7643.660156,7501.560059,7577.569824,7577.569824,2569590000,-1,4,3,2019
05/03/2019,7582.290039,7598.660156,7543.540039,7576.359863,7576.359863,2142610000,-1,5,3,2019
06/03/2019,7575.379883,7579.02002,7499.870117,7505.919922,7505.919922,2242810000,-1,6,3,2019
07/03/2019,7483.790039,7489.080078,7397.189941,7421.459961,7421.459961,2440840000,-1,7,3,2019
08/03/2019,7334.350098,7411.52002,7332.919922,7408.140137,7408.140137,2245430000,-1,8,3,2019
11/03/2019,7442.560059,7558.22998,7442.399902,7558.060059,7558.060059,2226950000,1,11,3,2019
12/03/2019,7571.850098,7611.129883,7560.459961,7591.029785,7591.029785,2161400000,1,12,3,2019
13/03/2019,7621.379883,7677.069824,7619.459961,7643.410156,7643.410156,2366350000,1,13,3,2019
14/03/2019,7644.790039,7653.100098,7627.02002,7630.910156,7630.910156,2176510000,-1,14,3,2019
15/03/2019,7658.410156,7714.959961,7652.040039,7688.529785,7688.529785,3447190000,1,15,3,2019
18/03/2019,7696.379883,7737.669922,7677.740234,7714.47998,7714.47998,2274490000,1,18,3,2019
19/03/2019,7747.399902,7767.890137,7699.149902,7723.950195,7723.950195,2433160000,1,19,3,2019
20/03/2019,7721.950195,7779.240234,7674.040039,7728.970215,7728.970215,2424400000,1,20,3,2019
21/03/2019,7705.430176,7850.109863,7705.430176,7838.959961,7838.959961,2483580000,1,21,3,2019
22/03/2019,7800.25,7817.830078,7642.569824,7642.669922,7642.669922,2490730000,-1,22,3,2019
25/03/2019,7618.97998,7662.379883,7579.290039,7637.540039,7637.540039,2130230000,-1,25,3,2019
26/03/2019,7700,7738.169922,7649.209961,7691.52002,7691.52002,2068900000,1,26,3,2019
27/03/2019,7702.049805,7712.839844,7582.089844,7643.379883,7643.379883,2221650000,-1,27,3,2019
28/03/2019,7660.069824,7689.160156,7619.819824,7669.169922,7669.169922,1902060000,1,28,3,2019
29/03/2019,7726.709961,7733.620117,7688.509766,7729.319824,7729.319824,2233470000,1,29,3,2019
01/04/2019,7800.240234,7831.450195,7777.089844,7828.910156,7828.910156,2198050000,1,1,4,2019
02/04/2019,7824.609863,7854.919922,7811.279785,7848.689941,7848.689941,2110100000,1,2,4,2019
03/04/2019,7891.180176,7938.259766,7870.899902,7895.549805,7895.549805,2487210000,1,3,4,2019
04/04/2019,7894.259766,7917.649902,7844.959961,7891.779785,7891.779785,2094200000,-1,4,4,2019
05/04/2019,7914.509766,7940.450195,7909.140137,7938.689941,7938.689941,2148730000,1,5,4,2019
08/04/2019,7924.890137,7955.899902,7891.850098,7953.879883,7953.879883,2069190000,1,8,4,2019
